Country,2019 Population,GDP (IMF),GDP (UN '16),GDP Per Capita,Amount,Date,Country
Afghanistan,37209.007,22.925,20.23506333,616.114265,028.09,2006,Afghanistan
Albania,2938.428,16.146,11.86386679,5494.774757,098.71,2006,Albania
Algeria,42679.018,208.773,159.0491452,4891.701116,069.87,2006,Algeria
Angola,31787.566,121.138,106.9175358,3810.86114,067.41,2006,Angola
Argentina,45101.781,659.694,545.8661645,14626.78381,097.19,2006,Argentina
Armenia,2936.706,12.696,10.57229943,4323.211108,099.40,2006,Armenia
Aruba,106.053,0,2.667039106,25148.1722,097.29,2006,Aruba
Azerbaijan,10014.575,47.926,37.84720407,4785.624952,098.79,2006,Azerbaijan
Bahrain,1637.896,39.703,32.1790736,24240.2448,086.55,2006,Bahrain
Bangladesh,168065.92,312.794,220.8367329,1861.138772,034.22,1990,Bangladesh
Barbados,287.01,5.516,4.552793288,19218.84255,099.36,1990,Barbados
Belarus,9433.874,61.522,47.40811118,6521.393014,099.59,2006,Belarus
Benin,11801.595,12.2,8.893638002,1033.758572,034.66,2006,Benin
Bhutan,826.229,2.8,2.212642587,3388.890973,059.50,2005,Bhutan
Bolivia,11379.861,43.804,33.80639547,3849.256155,086.72,2006,Bolivia
Bosnia and Herzegovina,3501.774,21.502,16.90990415,6140.316308,096.66,2006,Bosnia and Herzegovina
Botswana,2374.636,19.268,15.56605729,8114.085696,081.19,2006,Botswana
Brazil,212392.717,2256.85,1795.925681,10625.83516,088.62,2006,Brazil
Brunei,439.336,14.791,11.40026688,33666.71522,092.67,2006,Brunei
Bulgaria,6988.739,68.49,53.23964349,9800.051197,098.20,2006,Bulgaria
Burkina Faso,20321.56,15.867,11.69511711,780.7963562,021.82,2006,Burkina Faso
Burundi,11575.964,4.526,2.873699606,390.9825566,059.30,2006,Burundi
Cambodia,16482.646,26.628,20.01674786,1615.517314,073.61,2006,Cambodia
Cameroon,25312.993,41.748,32.21707382,1649.271582,067.90,2006,Cameroon
Cape Verde,560.349,2.099,1.638928099,3745.8798,063.81,1990,Cape Verde
Central African Republic,4825.711,2.334,1.81038874,483.6592991,048.57,2006,Central African Republic
Chad,15814.345,12.24,11.26729577,773.9808383,025.65,2006,Chad
Chile,18336.653,295.844,247.0457305,16134.02402,095.72,2006,Chile
China,1420062.022,15543.71,11218.28103,10945.79656,090.92,2006,China
Colombia,49849.818,347.027,282.4625514,6961.449689,092.80,2006,Colombia
Comoros,850.91,0.781,1.149802573,917.8408997,053.78,1990,Comoros
Costa Rica,4999.384,64.85,57.43551067,12971.5981,094.87,2006,Costa Rica
Croatia,4140.148,63.81,51.23100261,15412.4925,098.15,2006,Croatia
Cuba,11492.046,0,89.6887,7804.415332,099.80,2006,Cuba
Cyprus,1198.427,26.359,20.04623431,21994.66467,096.80,2006,Cyprus
Dominican Republic,10996.774,84.585,71.58358517,7691.80125,087.00,2006,Dominican Republic
Ecuador,17100.444,109.866,98.01021262,6424.745463,090.98,2006,Ecuador
Egypt,101168.745,0,270.1438134,2670.229955,071.41,2006,Egypt
El Salvador,6445.405,30.709,26.79746966,4764.479501,072.42,1990,El Salvador
Equatorial Guinea,1360.104,11.386,10.67794057,8371.418656,086.99,2006,Equatorial Guinea
Eritrea,5309.659,7.717,5.413804303,1453.389003,046.44,1990,Eritrea
Estonia,1303.798,33.267,23.33792056,25515.45562,099.77,2006,Estonia
Ethiopia,110135.635,89.727,70.31456087,814.6954435,028.60,1990,Ethiopia
Fiji,918.757,5.794,4.671118364,6306.346509,088.60,1990,Fiji
Ghana,30096.97,56.725,42.79386947,1884.741221,057.90,2006,Ghana
Greece,11124.603,235.836,192.6908131,21199.49809,095.99,2006,Greece
Guatemala,17577.842,87.819,68.76292057,4996.005767,069.10,2006,Guatemala
Guinea,13398.18,11.698,8.476136811,873.1036603,029.48,2006,Guinea
Guyana,786.508,3.911,3.436626633,4972.61312,097.18,1990,Guyana
Haiti,11242.856,9.751,7.647347306,867.3063143,039.66,1990,Haiti
Honduras,9568.688,24.823,21.51691535,2594.190552,080.01,2006,Honduras
Hungary,9655.361,172.827,125.8166404,17899.58967,099.06,1990,Hungary
India,1368737.513,3155.23,2259.642383,2305.211898,061.01,2006,India
Indonesia,269536.482,1152.89,932.2591776,4277.305957,090.38,2006,Indonesia
Iran,82820.766,413.114,425.402616,4988.048529,077.00,2006,Iran
Iraq,40412.299,233.402,160.0210015,5775.518982,074.05,2006,Iraq
Israel,8583.916,390.656,317.7475798,45510.23099,097.15,2006,Israel
Italy,59216.525,2261.46,1858.913164,38189.67763,098.42,2006,Italy
Jamaica,2906.339,15.845,14.05690108,5451.876054,079.90,2006,Jamaica
Jordan,10069.794,44.794,38.65464789,4448.353164,089.89,2006,Jordan
Kazakhstan,18592.97,190.469,135.005204,10244.14066,099.51,2006,Kazakhstan
Kenya,52214.791,95.803,70.52597905,1834.786622,073.61,2006,Kenya
Kuwait,4248.974,140.146,110.3461292,32983.49201,093.27,2006,Kuwait
Kyrgyzstan,6218.616,8.029,6.55129114,1291.123298,098.70,2006,Kyrgyzstan
Laos,7064.242,20.059,15.80570709,2839.51201,068.73,2006,Laos
Latvia,1911.108,38.621,27.57269848,20208.69569,099.75,2006,Latvia
Lebanon,6065.922,56.379,50.45765327,9294.382618,080.34,1990,Lebanon
Lesotho,2292.682,3.062,2.241017076,1335.553731,082.22,2006,Lesotho
Liberia,4977.72,3.534,2.756817825,709.9635978,039.22,1990,Liberia
Libya,6569.864,46.923,42.95953459,7142.156976,068.05,1990,Libya
Lithuania,2864.459,58.215,42.77302984,20323.20937,099.65,2006,Lithuania
Macau,642.09,57.573,45.31108052,89665.00023,091.30,2006,Macau
Madagascar,26969.642,13.559,11.22226385,502.7504629,070.68,2006,Madagascar
Malawi,19718.743,7.024,5.318197658,356.2093182,064.13,2006,Malawi
Malaysia,32454.455,402.605,296.5314695,12405.23065,088.69,2006,Malaysia
Maldives,451.738,5.169,4.224207488,11442.47329,096.33,2006,Maldives
Mali,19689.14,19.247,14.00169675,977.5439659,019.04,2006,Mali
Malta,433.245,16.046,10.99857704,37036.78057,087.87,2006,Malta
Mauritania,4661.149,5.54,4.66711932,1188.548146,051.21,2006,Mauritania
Mauritius,1271.368,14.217,12.21623502,11182.44285,084.37,2006,Mauritius
Mexico,132328.035,1285.08,1076.914464,9711.32081,090.95,2006,Mexico
Moldova,4029.75,9.903,6.772647958,2457.472548,098.36,2006,Moldova
Mongolia,3166.244,13.786,11.16035669,4354.054836,097.77,2006,Mongolia
Morocco,36635.156,129.033,103.6065749,3522.108654,052.31,2006,Morocco
Mozambique,31408.823,15.017,10.93013157,478.1140637,033.48,1990,Mozambique
Namibia,2641.996,14.071,10.94727725,5325.897541,085.04,2006,Namibia
Nepal,29942.018,28.75,20.91400496,960.1891229,048.59,2006,Nepal
Netherlands,17132.908,994.771,777.2275416,58062.00559,095.65,1990,Netherlands Antilles
New Caledonia,283.376,0,9.445714851,33332.79759,096.20,2006,New Caledonia
Nicaragua,6351.157,15.499,13.23021488,2440.34276,076.68,2006,Nicaragua
Niger,23176.691,10.717,7.528285819,462.4042319,028.66,2006,Niger
Nigeria,200962.417,475.566,404.6491254,2366.442478,048.66,1990,Nigeria
Oman,5001.875,85.636,63.1709594,17120.77971,081.35,2006,Oman
Pakistan,204596.442,0,282.5060079,1380.796289,049.85,2006,Pakistan
Panama,4226.197,72.371,55.1878,17124.3792,091.90,2006,Panama
Papua New Guinea,8586.525,27.411,19.69411573,3192.327513,057.34,2006,Papua New Guinea
Paraguay,6981.981,34.615,27.16510191,4957.761988,090.32,1990,Paraguay
Peru,32933.835,246.714,192.2095296,7491.201678,087.67,2006,Peru
Philippines,108106.31,355.744,304.9056389,3290.686732,092.60,2006,Philippines
Qatar,2743.901,193.906,152.4519231,70668.00151,088.96,2006,Qatar
Romania,19483.36,265.265,186.6909767,13614.95143,097.30,2006,Romania
Russia,143895.551,1754.29,1246.015057,12191.41237,099.44,2006,Russia
Rwanda,12794.412,10.532,8.473784827,823.171866,064.90,2006,Rwanda
Samoa,198.909,0.92,0.822233281,4625.230633,097.99,1990,Samoa
Saudi Arabia,34140.662,759.219,639.6170509,22237.96949,079.35,2006,Saudi Arabia
Senegal,16743.859,21.722,14.60452053,1297.31145,039.28,2006,Senegal
Serbia,8733.407,51.304,38.2998719,5874.454265,096.40,2006,Serbia and Montenegro
Seychelles,95.702,1.659,1.433826317,17335.06092,091.84,2006,Seychelles
Sierra Leone,7883.123,3.976,3.674756785,504.3686366,035.09,2006,Sierra Leone
Singapore,5868.104,367.783,296.9462784,62674.92873,092.55,2006,Singapore
Slovakia,5450.987,119.875,89.76859802,21991.43018,099.63,2006,Slovakia
Slovenia,2081.9,60.638,44.70859865,29126.27888,099.56,1990,Slovenia
South Africa,58065.097,386.853,295.4400098,6662.401683,082.40,2006,South Africa
Sri Lanka,21018.859,99.651,81.32197097,4741.028045,090.68,2006,Sri Lanka
Sudan,42514.094,0,82.8873959,1949.64512,060.93,2006,Sudan
Suriname,573.085,4.226,3.278445033,7374.124257,089.60,2006,Suriname
Swaziland,1415.414,4.644,4.007002048,3281.01884,079.56,2006,Swaziland
Syria,18499.181,0,22.16307512,1198.057099,079.56,2006,Syria
Tajikistan,9292,8.176,6.951679338,879.8966853,099.45,2006,Tajikistan
Tanzania,60913.557,61.66,0,1012.254136,069.43,2006,Tanzania
Thailand,69306.16,520.074,407.0263195,7504.008302,092.65,2006,Thailand
Togo,8186.384,6.078,4.449262345,742.4523453,053.16,2006,Togo
Tonga,110.041,0.454,0.401460313,4125.734953,098.91,2006,Tonga
Trinidad and Tobago,1375.443,22.533,24.08617656,16382.35827,096.84,1990,Trinidad and Tobago
Tunisia,11783.168,41.956,41.7035614,3560.672308,074.30,2006,Tunisia
Turkey,82961.805,961.655,863.7117105,11591.53902,087.37,2006,Turkey
Turkmenistan,5942.561,46.401,36.17988571,7808.249676,098.78,2006,Turkmenistan
Uganda,45711.874,29.69,25.30784247,649.5030153,066.81,2006,Uganda
Ukraine,43795.22,126.721,93.27035485,2893.489289,099.43,2006,Ukraine
United Arab Emirates,9682.088,427.83,348.7436276,44187.78264,071.04,1990,United Arab Emirates
Uruguay,3482.156,66.749,52.41971846,19168.87124,096.51,1990,Uruguay
Uzbekistan,32807.368,47.892,67.77890244,1459.794032,098.65,1990,Uzbekistan
Vanuatu,288.017,1.024,0.83751979,3555.345691,074.00,2006,Vanuatu
Venezuela,32779.868,92.417,291.3764373,2819.321908,092.98,2006,Venezuela
Vietnam,97429.061,264.939,205.2761713,2719.301585,090.28,2006,Vietnam
Yemen,29579.986,17.452,25.37408644,589.9935179,032.68,1990,Yemen
Zambia,18137.369,27.217,21.06306398,1500.603533,068.00,2006,Zambia
Zimbabwe,17297.495,21.067,16.12376365,1217.922017,080.70,1990,Zimbabwe
